repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
mrniko/netty-socketio,6992,19,13.641433,,,,,,,,,,,,,
AutoMQ/automq,6990,69,2.047079,,,,,,,,,,,,,
wiremock/wiremock,6966,51,13.900534,,,,,,,,,,,,,
DroidPluginTeam/DroidPlugin,6963,2,10.019311,,,,,,,,,,,,,
alibaba/jvm-sandbox,6920,13,8.084601,,,,,,,,,,,,,
hongyangAndroid/okhttputils,6865,0,10.046274,,,,,,,,,,,,,
Meituan-Dianping/walle,6847,1,8.645776,,,,,,,,,,,,,
macrozheng/springcloud-learning,6823,0,5.990181,,,,,,,,,,,,,
exadel-inc/CompreFace,6811,11,5.15994,,,,,,,,,,,,,
rabbitmq/rabbitmq-tutorials,6804,0,14.95013,,,,,,,,,,,,,
zo0r/react-native-push-notification,6789,35,9.7199,,,,,,,,,,,,,
smuyyh/BookReader,6779,0,9.083646,,,,,,,,,,,,,
junit-team/junit-framework,6777,96,10.642646,,,,,,,,,,,,,
Angel-ML/angel,6775,19,8.358039,,,,,,,,,,,,,
CoderLeixiaoshuai/java-eight-part,6758,0,4.879772,,,,,,,,,,,,,
guardianproject/haven,6727,37,8.508921,,,,,,,,,,,,,
markzhai/AndroidPerformanceMonitor,6726,0,9.628467,,,,,,,,,,,,,
getActivity/AndroidProject,6715,17,6.862653,,,,,,,,,,,,,
gzu-liyujiang/AndroidPicker,6709,57,9.868375,,,,,,,,,,,,,
zouzg/mybatis-generator-gui,6705,16,9.319858,,,,,,,,,,,,,
fuzhengwei/itstack-demo-design,6699,0,5.288019,,,,,,,,,,,,,
527515025/springBoot,6697,0,8.821163,,,,,,,,,,,,,
hongyangAndroid/AndroidAutoLayout,6676,0,9.79037,,,,,,,,,,,,,
Meituan-Dianping/Leaf,6660,0,6.728821,,,,,,,,,,,,,
yanzhenjie/AndPermission,6648,0,8.97687,,,,,,,,,,,,,
apache/storm,6648,5,11.826664,,,,,,,,,,,,,
Col-E/Recaf,6631,170,8.103413,,,,,,,,,,,,,
spring-projects/spring-ai,6610,1,2.185441,,,,,,,,,,,,,
quartz-scheduler/quartz,6601,5,9.490582,,,,,,,,,,,,,
GrenderG/Toasty,6601,19,8.622138,,,,,,,,,,,,,
raphw/byte-buddy,6598,303,11.77058,,,,,,,,,,,,,
apache/hertzbeat,6569,6,3.576742,,,,,,,,,,,,,
apache/zeppelin,6556,0,10.444163,,,,,,,,,,,,,
JesusFreke/smali,6530,0,12.942355,,,,,,,,,,,,,
NLPchina/ansj_seg,6529,3,12.993223,,,,,,,,,,,,,
jOOQ/jOOQ,6509,102,14.380768,,,,,,,,,,,,,
ximsfei/Android-skin-support,6508,0,8.639,,,,,,,,,,,,,
processing/processing,6505,48,12.605435,,,,,,,,,,,,,
MuntashirAkon/AppManager,6460,76,5.261737,,,,,,,,,,,,,
FongMi/TV,6446,0,3.199562,,,,,,,,,,,,,
ArthurHub/Android-Image-Cropper,6429,32,10.632639,,,,,,,,,,,,,
wxiaoqi/Spring-Cloud-Platform,6429,3,8.275376,,,,,,,,,,,,,
vinc3m1/RoundedImageView,6428,19,12.528319,,,,,,,,,,,,,
getActivity/XXPermissions,6426,72,7.218117,,,,,,,,,,,,,
traccar/traccar,6422,63,13.381699,,,,,,,,,,,,,
pig-mesh/pig,6412,19,6.022943,,,,,,,,,,,,,
AsyncHttpClient/async-http-client,6392,6,14.492681,,,,,,,,,,,,,
hazelcast/hazelcast,6384,200,13.452443,,,,,,,,,,,,,
aa112901/remusic,6360,0,9.444923,,,,,,,,,,,,,
sshahine/JFoenix,6347,0,9.986135,,,,,,,,,,,,,
wasabeef/richeditor-android,6333,0,10.429411,,,,,,,,,,,,,
joelittlejohn/jsonschema2pojo,6328,63,12.19736,,,,,,,,,,,,,
vespa-engine/vespa,6325,235,9.248874,,,,,,,,,,,,,
amitshekhariitbhu/from-java-to-kotlin,6293,0,8.286173,,,,,,,,,,,,,
micronaut-projects/micronaut-core,6290,308,7.49218,,,,,,,,,,,,,
koush/ion,6275,0,12.28392,,,,,,,,,,,,,
lightbend/config,6261,2,13.743155,,,,,,,,,,,,,
haifengl/smile,6248,33,10.785314,,,,,,,,,,,,,
648540858/wvp-GB28181-pro,6241,1,4.800623,,,,,,,,,,,,,
hibernate/hibernate-orm,6228,108,14.914017,,,,,,,,,,,,,
ityouknow/spring-cloud-examples,6225,0,8.349501,,,,,,,,,,,,,
apache/flink-cdc,6211,22,5.101203,,,,,,,,,,,,,
graphql-java/graphql-java,6195,93,10.162179,,,,,,,,,,,,,
gephi/gephi,6191,19,13.866905,,,,,,,,,,,,,
DerekYRC/mini-spring,6183,0,4.79267,,,,,,,,,,,,,
Javen205/IJPay,6145,24,8.339183,,,,,,,,,,,,,
jetlinks/jetlinks-community,6136,20,5.669299,,,,,,,,,,,,,
google/grafika,6131,1,11.704988,,,,,,,,,,,,,
ikew0ng/SwipeBackLayout,6126,0,12.024291,,,,,,,,,,,,,
auth0/java-jwt,6118,45,11.491836,,,,,,,,,,,,,
logisim-evolution/logisim-evolution,6115,30,10.956325,,,,,,,,,,,,,
apache/incubator-kie-drools,6110,6,14.539804,,,,,,,,,,,,,
daimajia/NumberProgressBar,6104,3,11.341961,,,,,,,,,,,,,
rengwuxian/MaterialEditText,6100,19,10.843534,,,,,,,,,,,,,
nayuki/QR-Code-generator,6074,5,9.385148,,,,,,,,,,,,,
Vedenin/useful-java-links,6059,0,9.553649,,,,,,,,,,,,,
alipay/SoloPi,6032,8,6.473305,,,,,,,,,,,,,
google/j2objc,6029,1,11.589802,,,,,,,,,,,,,
singwhatiwanna/dynamic-load-apk,6029,0,11.429237,,,,,,,,,,,,,
LandGrey/SpringBootVulExploit,6028,0,5.288527,,,,,,,,,,,,,
pedrovgs/EffectiveAndroidUI,6015,0,11.166762,,,,,,,,,,,,,
rey5137/material,5989,10,10.733791,,,,,,,,,,,,,
google/physical-web,5984,17,10.924709,,,,,,,,,,,,,
graphhopper/graphhopper,5983,45,13.539194,,,,,,,,,,,,,
robolectric/robolectric,5970,110,15.017119,,,,,,,,,,,,,
wyouflf/xUtils3,5969,9,9.849601,,,,,,,,,,,,,
vavr-io/vavr,5964,19,11.59051,,,,,,,,,,,,,
liyifeng1994/ssm,5960,0,9.20814,,,,,,,,,,,,,
obsidiandynamics/kafdrop,5954,50,6.271476,,,,,,,,,,,,,
btraceio/btrace,5949,33,11.015009,,,,,,,,,,,,,
springfox/springfox,5938,12,13.327161,,,,,,,,,,,,,
apache/camel,5937,0,16.287487,,,,,,,,,,,,,
javaparser/javaparser,5935,55,13.843769,,,,,,,,,,,,,
prolificinteractive/material-calendarview,5928,22,10.562857,,,,,,,,,,,,,
apache/hudi,5928,31,8.718303,,,,,,,,,,,,,
antoniolg/androidmvp,5924,0,11.421724,,,,,,,,,,,,,
google/google-java-format,5907,35,10.313928,,,,,,,,,,,,,
weibocom/motan,5894,27,9.370477,,,,,,,,,,,,,
journeyapps/zxing-android-embedded,5889,9,12.762027,,,,,,,,,,,,,
apache/pinot,5887,20,11.291019,,,,,,,,,,,,,
lets-blade/blade,5878,9,10.233737,,,,,,,,,,,,,
WeiYe-Jing/datax-web,5875,5,5.790484,,,,,,,,,,,,,
apache/iotdb,5871,46,6.773791,,,,,,,,,,,,,
ZhongFuCheng3y/austin,5869,0,3.823744,,,,,,,,,,,,,
opengoofy/hippo4j,5866,18,4.21601,,,,,,,,,,,,,
amitshekhariitbhu/Fast-Android-Networking,5839,10,9.451739,,,,,,,,,,,,,
CeuiLiSA/Pixiv-Shaft,5825,110,6.424658,,,,,,,,,,,,,
ffay/lanproxy,5805,1,8.784889,,,,,,,,,,,,,
Nightonke/BoomMenu,5805,0,9.457959,,,,,,,,,,,,,
changmingxie/tcc-transaction,5797,8,9.746301,,,,,,,,,,,,,
JSQLParser/JSqlParser,5797,37,14.195947,,,,,,,,,,,,,
youtube/api-samples,5790,0,11.732357,,,,,,,,,,,,,
yarolegovich/DiscreteScrollView,5789,2,8.501128,,,,,,,,,,,,,
LaurieWired/GhidraMCP,5786,5,0.448428,,,,,,,,,,,,,
apache/hive,5780,0,16.287249,,,,,,,,,,,,,
JakeWharton/DiskLruCache,5776,0,13.661867,,,,,,,,,,,,,
dmytrodanylyk/circular-progress-button,5772,3,11.240196,,,,,,,,,,,,,
Nepxion/Discovery,5744,132,7.20149,,,,,,,,,,,,,
TeamAmaze/AmazeFileManager,5742,66,11.138118,,,,,,,,,,,,,
k0shk0sh/FastHub,5735,63,8.537378,,,,,,,,,,,,,
Devlight/InfiniteCycleViewPager,5727,2,9.03131,,,,,,,,,,,,,
jpush/aurora-imui,5716,42,8.722238,,,,,,,,,,,,,
jeequan/jeepay,5712,0,8.059989,,,,,,,,,,,,,
yanzhenjie/SwipeRecyclerView,5708,0,9.082457,,,,,,,,,,,,,
springside/springside4,5687,3,13.526796,,,,,,,,,,,,,
dromara/lamp-cloud,5682,0,7.627389,,,,,,,,,,,,,
wasabeef/Blurry,5661,0,10.1148,,,,,,,,,,,,,
JakeWharton/u2020,5659,0,11.801571,,,,,,,,,,,,,
crazycodeboy/react-native-splash-screen,5658,12,8.968037,,,,,,,,,,,,,
jagrosh/MusicBot,5653,38,9.051992,,,,,,,,,,,,,
hanks-zyh/HTextView,5651,0,9.706589,,,,,,,,,,,,,
alibaba/spring-ai-alibaba,5649,10,0.982768,,,,,,,,,,,,,
apache/nifi,5644,0,10.726048,,,,,,,,,,,,,
redis/lettuce,5632,134,11.316837,,,,,,,,,,,,,
ZHENFENG13/spring-boot-projects,5625,0,8.424219,,,,,,,,,,,,,
daimajia/AndroidImageSlider,5620,5,11.254674,,,,,,,,,,,,,
ElderDrivers/EdXposed,5603,27,6.6238,,,,,,,,,,,,,
JanusGraph/janusgraph,5602,28,8.685729,,,,,,,,,,,,,
meefik/linuxdeploy,5600,37,13.034419,,,,,,,,,,,,,
TommyLemon/Android-ZBLibrary,5599,25,10.037928,,,,,,,,,,,,,
hongyangAndroid/FlowLayout,5597,0,10.016769,,,,,,,,,,,,,
amlcurran/ShowcaseView,5583,13,13.051952,,,,,,,,,,,,,
Suwayomi/Suwayomi-Server,5558,58,4.693134,,,,,,,,,,,,,
baidu/uid-generator,5558,0,8.437654,,,,,,,,,,,,,
knightliao/disconf,5554,12,11.262478,,,,,,,,,,,,,
nhaarman/ListViewAnimations,5551,14,12.458653,,,,,,,,,,,,,
danikula/AndroidVideoCache,5501,20,10.424493,,,,,,,,,,,,,
emilsjolander/StickyListHeaders,5497,16,13.47913,,,,,,,,,,,,,
wuhaoyu1990/MagicCamera,5495,0,9.652398,,,,,,,,,,,,,
jd-opensource/joyagent-jdgenie,5482,0,0.133874,,,,,,,,,,,,,
sockeqwe/mosby,5478,15,10.44485,,,,,,,,,,,,,
00-Evan/shattered-pixel-dungeon,5473,52,11.09133,,,,,,,,,,,,,
alibaba/jetcache,5466,67,8.393422,,,,,,,,,,,,,
scribejava/scribejava,5466,9,14.993081,,,,,,,,,,,,,
alibaba/freeline,5461,22,9.082268,,,,,,,,,,,,,
KeepSafe/TapTargetView,5456,24,8.976433,,,,,,,,,,,,,
dm77/barcodescanner,5450,6,11.521253,,,,,,,,,,,,,
motianhuo/wechat,5437,0,10.277661,,,,,,,,,,,,,
201206030/novel,5436,12,5.812378,,,,,,,,,,,,,
Jasonchenlijian/FastBle,5436,9,9.029253,,,,,,,,,,,,,
facebookarchive/rebound,5418,10,11.895885,,,,,,,,,,,,,
ddd-by-examples/library,5416,0,6.643772,,,,,,,,,,,,,
apache/dubbo-spring-boot-project,5406,13,7.623587,,,,,,,,,,,,,
socketio/socket.io-client-java,5404,7,12.348559,,,,,,,,,,,,,
apache/hbase,5380,47,11.281946,,,,,,,,,,,,,
Evernote/android-job,5372,31,10.037523,,,,,,,,,,,,,
facebookarchive/shimmer-android,5365,5,10.513589,,,,,,,,,,,,,
mik3y/usb-serial-for-android,5365,33,12.175364,,,,,,,,,,,,,
houbb/sensitive-word,5360,2,5.656099,,,,,,,,,,,,,
strimzi/strimzi-kafka-operator,5357,155,9.326907,,,,,,,,,,,,,
jgilfelt/SystemBarTint,5355,3,11.793287,,,,,,,,,,,,,
apache/groovy,5352,0,10.383931,,,,,,,,,,,,,
commonsguy/cw-omnibus,5351,36,13.476881,,,,,,,,,,,,,
spring-projects/spring-data-examples,5347,0,11.59033,,,,,,,,,,,,,
microsoft/typespec,5347,259,4.175342,,,,,,,,,,,,,
h6ah4i/android-advancedrecyclerview,5337,1,10.607381,,,,,,,,,,,,,
ikarus23/MifareClassicTool,5335,8,12.55406,,,,,,,,,,,,,
XRecyclerView/XRecyclerView,5324,0,9.792414,,,,,,,,,,,,,
coobird/thumbnailator,5318,0,10.110301,,,,,,,,,,,,,
mybatis/generator,5313,11,12.560038,,,,,,,,,,,,,
google/google-authenticator,5302,0,10.902879,,,,,,,,,,,,,
evant/gradle-retrolambda,5294,37,12.079212,,,,,,,,,,,,,
LFDT-web3j/web3j,5290,119,8.995976,,,,,,,,,,,,,
osmandapp/OsmAnd,5288,1,14.631593,,,,,,,,,,,,,
xxv/android-lifecycle,5275,0,11.376923,,,,,,,,,,,,,
yixia/VitamioBundle,5273,0,12.872446,,,,,,,,,,,,,
CaffeineMC/sodium,5256,40,5.587665,,,,,,,,,,,,,
CodingDocs/springboot-guide,5254,0,6.765167,,,,,,,,,,,,,
lingochamp/okdownload,5247,8,7.711634,,,,,,,,,,,,,
zfdang/Android-Touch-Helper,5242,112,4.881538,,,,,,,,,,,,,
Yalantis/Side-Menu.Android,5241,2,10.638073,,,,,,,,,,,,,
thinkaurelius/titan,5241,0,13.519695,,,,,,,,,,,,,
razerdp/BasePopup,5233,15,9.634157,,,,,,,,,,,,,
lucasr/twoway-view,5226,0,12.621905,,,,,,,,,,,,,
Doikki/DKVideoPlayer,5224,32,8.396872,,,,,,,,,,,,,
huangyanbin/smartTable,5220,44,7.819228,,,,,,,,,,,,,
alibaba/QLExpress,5220,17,8.469984,,,,,,,,,,,,,
cinit/QAuxiliary,5218,48,3.594152,,,,,,,,,,,,,
rubenlagus/TelegramBots,5217,107,9.637272,,,,,,,,,,,,,
Karumi/Dexter,5215,33,9.794581,,,,,,,,,,,,,
Clans/FloatingActionButton,5209,14,10.454476,,,,,,,,,,,,,
GeyserMC/Geyser,5205,0,6.155505,,,,,,,,,,,,,
liquibase/liquibase,5205,103,14.155191,,,,,,,,,,,,,
pmd/pmd,5194,107,13.145162,,,,,,,,,,,,,
citerus/dddsample-core,5187,0,10.587404,,,,,,,,,,,,,
hustcc/JS-Sorting-Algorithm,5186,0,8.62023,,,,,,,,,,,,,
remkop/picocli,5185,86,8.584063,,,,,,,,,,,,,
dunwu/db-tutorial,5177,0,8.070498,,,,,,,,,,,,,
tonikelope/megabasterd,5160,208,8.926264,,,,,,,,,,,,,
android/views-widgets-samples,5154,0,5.990747,,,,,,,,,,,,,
square/otto,5149,0,13.183371,,,,,,,,,,,,,
careercup/ctci,5147,0,12.451919,,,,,,,,,,,,,
j-easy/easy-rules,5146,10,12.482991,,,,,,,,,,,,,
novicezk/midjourney-proxy,5135,0,2.361261,,,,,,,,,,,,,
Fuzion24/JustTrustMe,5134,1,11.110289,,,,,,,,,,,,,
reactor/reactor-core,5133,210,9.814104,,,,,,,,,,,,,
brianfrankcooper/YCSB,5131,55,15.373451,,,,,,,,,,,,,
bitcoinj/bitcoinj,5129,14,11.788728,,,,,,,,,,,,,
LWJGL/lwjgl3,5119,21,12.693689,,,,,,,,,,,,,
runelite/runelite,5105,0,9.341974,,,,,,,,,,,,,
CellularPrivacy/Android-IMSI-Catcher-Detector,5089,48,11.777147,,,,,,,,,,,,,
deathmarine/Luyten,5086,17,12.146656,,,,,,,,,,,,,
zhanglei-workspace/shopping-management-system,5085,0,9.79736,,,,,,,,,,,,,
hneemann/Digital,5084,35,9.180798,,,,,,,,,,,,,
natario1/CameraView,5084,42,8.127656,,,,,,,,,,,,,
fast-excel/fastexcel,5070,5,0.91043,,,,,,,,,,,,,
jindrapetrik/jpexs-decompiler,5069,172,11.316358,,,,,,,,,,,,,
oshi/oshi,5068,165,13.561917,,,,,,,,,,,,,
OpenTSDB/opentsdb,5061,27,15.019673,,,,,,,,,,,,,
sofastack/sofa-boot,5060,82,7.421409,,,,,,,,,,,,,
diffplug/spotless,5058,35,10.352426,,,,,,,,,,,,,
wequick/Small,5050,25,9.767388,,,,,,,,,,,,,
xuexiangjys/XUI,5041,23,6.654867,,,,,,,,,,,,,
spring-projects/spring-authorization-server,5040,80,5.462818,,,,,,,,,,,,,
baomidou/dynamic-datasource,5037,18,7.350902,,,,,,,,,,,,,
Exrick/xpay,5029,0,7.72443,,,,,,,,,,,,,
killbill/killbill,5019,150,12.865575,,,,,,,,,,,,,
yipianfengye/android-zxingLibrary,5018,0,9.105241,,,,,,,,,,,,,
Trinea/android-common,5017,1,13.206561,,,,,,,,,,,,,
youlookwhat/DesignPattern,5011,0,8.866707,,,,,,,,,,,,,
jankotek/mapdb,5010,0,13.044155,,,,,,,,,,,,,
rubensousa/GravitySnapHelper,5005,14,9.006744,,,,,,,,,,,,,
tianshiyeben/wgcloud,5004,29,6.633642,,,,,,,,,,,,,
2227324689/gpmall,5000,0,6.128495,,,,,,,,,,,,,
youlookwhat/CloudReader,4995,26,8.784458,,,,,,,,,,,,,
line/armeria,4994,260,9.798366,,,,,,,,,,,,,
DingMouRen/LayoutManagerGroup,4992,0,7.349846,,,,,,,,,,,,,
orhanobut/dialogplus,4989,9,10.725888,,,,,,,,,,,,,
spring-attic/spring-mvc-showcase,4987,0,14.251532,,,,,,,,,,,,,
alibaba/UltraViewPager,4985,10,8.431099,,,,,,,,,,,,,
apache/ignite,4979,0,10.537137,,,,,,,,,,,,,
JodaOrg/joda-time,4975,50,14.300674,,,,,,,,,,,,,
frogermcs/InstaMaterial,4970,1,10.812411,,,,,,,,,,,,,
killme2008/aviatorscript,4963,52,14.43255,,,,,,,,,,,,,
Devlight/NavigationTabBar,4951,13,9.430932,,,,,,,,,,,,,
bisq-network/bisq,4943,142,11.478763,,,,,,,,,,,,,
amitshekhariitbhu/RxJava2-Android-Samples,4943,0,9.017589,,,,,,,,,,,,,
react-native-linear-gradient/react-native-linear-gradient,4939,18,10.426512,,,,,,,,,,,,,
spring-cloud/spring-cloud-netflix,4930,24,11.146792,,,,,,,,,,,,,
apache/calcite,4928,0,11.191597,,,,,,,,,,,,,
lugg/react-native-config,4920,30,9.527746,,,,,,,,,,,,,
roncoo/roncoo-pay,4917,0,9.119527,,,,,,,,,,,,,
traex/RippleEffect,4914,0,10.886949,,,,,,,,,,,,,
javastacks/spring-boot-best-practice,4907,0,6.816582,,,,,,,,,,,,,
Ramotion/folding-cell-android,4905,0,9.422416,,,,,,,,,,,,,
querydsl/querydsl,4904,35,14.080056,,,,,,,,,,,,,
DiUS/java-faker,4894,0,14.244983,,,,,,,,,,,,,
PBH-BTN/PeerBanHelper,4888,143,1.569924,,,,,,,,,,,,,
Docile-Alligator/Infinity-For-Reddit,4880,180,7.105806,,,,,,,,,,,,,
cglib/cglib,4872,15,11.431752,,,,,,,,,,,,,
orientechnologies/orientdb,4862,224,12.731461,,,,,,,,,,,,,
rstudio/rstudio,4859,0,14.738464,,,,,,,,,,,,,
react-native-webrtc/react-native-webrtc,4858,81,9.934473,,,,,,,,,,,,,
reactive-streams/reactive-streams-jvm,4855,0,11.511211,,,,,,,,,,,,,
Sayi/poi-tl,4842,14,10.457877,,,,,,,,,,,,,
fuzhengwei/small-spring,4841,0,4.303265,,,,,,,,,,,,,
allure-framework/allure2,4833,78,9.268816,,,,,,,,,,,,,
nextcloud/android,4829,259,9.240606,,,,,,,,,,,,,
mcxiaoke/packer-ng-plugin,4825,1,9.776456,,,,,,,,,,,,,
andkulikov/Transitions-Everywhere,4807,23,10.885344,,,,,,,,,,,,,
claritylab/lucida,4798,0,11.30816,,,,,,,,,,,,,
TheoKanning/openai-java,4790,22,4.966184,,,,,,,,,,,,,
mock-server/mockserver,4789,0,12.516813,,,,,,,,,,,,,
saiwu-bigkoo/Android-ConvenientBanner,4776,0,10.696137,,,,,,,,,,,,,
ronmamo/reflections,4767,3,12.381499,,,,,,,,,,,,,
tuguangquan/mybatis,4763,0,10.833184,,,,,,,,,,,,,
apache/maven,4758,26,16.287153,,,,,,,,,,,,,
etsy/AndroidStaggeredGrid,4753,7,11.73224,,,,,,,,,,,,,
nisrulz/android-tips-tricks,4749,0,9.021685,,,,,,,,,,,,,
kyleduo/SwitchButton,4748,0,10.983482,,,,,,,,,,,,,
spring-cloud/spring-cloud-gateway,4731,34,8.7943,,,,,,,,,,,,,
firebase/FirebaseUI-Android,4731,66,10.152752,,,,,,,,,,,,,
google/cameraview,4724,0,9.080901,,,,,,,,,,,,,
hongyangAndroid/baseAdapter,4723,0,10.08597,,,,,,,,,,,,,
zq2599/blog_demos,4716,0,8.401971,,,,,,,,,,,,,
hansonwang99/Spring-Boot-In-Action,4714,0,6.596806,,,,,,,,,,,,,
zlt2000/microservices-platform,4701,30,6.49342,,,,,,,,,,,,,
micrometer-metrics/micrometer,4701,270,8.397323,,,,,,,,,,,,,
spring-attic/spring-security-oauth,4701,0,14.106137,,,,,,,,,,,,,
jgilfelt/chuck,4700,5,8.566813,,,,,,,,,,,,,
pardom-zz/ActiveAndroid,4680,0,12.797441,,,,,,,,,,,,,
SPLWare/esProc,4665,0,3.814836,,,,,,,,,,,,,
wdullaer/MaterialDateTimePicker,4661,54,10.664484,,,,,,,,,,,,,
saysky/ForestBlog,4660,0,7.902474,,,,,,,,,,,,,
cjlin1/libsvm,4658,0,11.979239,,,,,,,,,,,,,
stleary/JSON-java,4658,24,14.700294,,,,,,,,,,,,,
Heeexy/SpringBoot-Shiro-Vue,4648,0,7.792577,,,,,,,,,,,,,
gabrielemariotti/cardslib,4646,27,11.951014,,,,,,,,,,,,,
romandanylyk/PageIndicatorView,4640,14,9.035492,,,,,,,,,,,,,
bytedeco/javacpp,4635,13,11.368898,,,,,,,,,,,,,
deepjavalibrary/djl,4633,35,5.845528,,,,,,,,,,,,,
gsantner/markor,4627,76,8.021949,,,,,,,,,,,,,
oracle/opengrok,4625,293,12.65306,,,,,,,,,,,,,
Netflix/ribbon,4617,41,12.632376,,,,,,,,,,,,,
981011512/--,4613,0,5.207593,,,,,,,,,,,,,
bepass-org/oblivion,4613,12,1.568185,,,,,,,,,,,,,
TGX-Android/Telegram-X,4612,5,4.044649,,,,,,,,,,,,,
SplashCodes/JAViewer,4610,10,9.28585,,,,,,,,,,,,,
apache/rocketmq-externals,4606,0,8.472912,,,,,,,,,,,,,
yasserg/crawler4j,4606,3,13.673024,,,,,,,,,,,,,
chewiebug/GCViewer,4583,5,13.86351,,,,,,,,,,,,,
CalebFenton/simplify,4580,9,11.629856,,,,,,,,,,,,,
puniverse/quasar,4578,18,12.436424,,,,,,,,,,,,,
RedSpider1/concurrent,4577,0,6.832161,,,,,,,,,,,,,
chentao0707/SimplifyReader,4571,0,10.047019,,,,,,,,,,,,,
javagrowing/JGrowing,4568,0,6.518666,,,,,,,,,,,,,
rememberber/WePush,4567,58,8.196154,,,,,,,,,,,,,
angryip/ipscan,4566,31,14.182474,,,,,,,,,,,,,
zhanghai/Douya,4563,11,9.586449,,,,,,,,,,,,,
dromara/dynamic-tp,4555,19,3.653201,,,,,,,,,,,,,
go-lang-plugin-org/go-lang-idea-plugin,4551,21,15.013486,,,,,,,,,,,,,
objectbox/objectbox-java,4550,48,8.606668,,,,,,,,,,,,,
discord-jda/JDA,4549,110,9.726054,,,,,,,,,,,,,
square/sqlbrite,4548,9,10.537521,,,,,,,,,,,,,
charles2gan/GDA-android-reversing-Tool,4545,40,7.84032,,,,,,,,,,,,,
danielzeller/Depth-LIB-Android-,4544,0,9.351463,,,,,,,,,,,,,
jdamcd/android-crop,4538,6,11.475945,,,,,,,,,,,,,
SuperMonster003/AutoJs6,4535,20,3.755771,,,,,,,,,,,,,
alibaba/dexposed,4531,0,10.179051,,,,,,,,,,,,,
JZ-Darkal/AndroidHttpCapture,4527,1,8.88213,,,,,,,,,,,,,
hussien89aa/AndroidTutorialForBeginners,4526,0,8.934513,,,,,,,,,,,,,
castorflex/SmoothProgressBar,4520,9,11.765002,,,,,,,,,,,,,
Flipboard/bottomsheet,4518,10,10.363555,,,,,,,,,,,,,
tiann/epic,4518,5,8.284471,,,,,,,,,,,,,
azkaban/azkaban,4514,48,12.875994,,,,,,,,,,,,,
ant-media/Ant-Media-Server,4512,64,8.50835,,,,,,,,,,,,,
phishman3579/java-algorithms-implementation,4509,0,11.78611,,,,,,,,,,,,,
zhkl0228/unidbg,4504,15,6.517797,,,,,,,,,,,,,
HotBitmapGG/bilibili-android-client,4499,1,9.256211,,,,,,,,,,,,,
zongzibinbin/MallChat,4483,0,2.467884,,,,,,,,,,,,,
JakeWharton/NineOldAndroids,4478,0,13.736342,,,,,,,,,,,,,
Meituan-Dianping/Robust,4459,13,8.472542,,,,,,,,,,,,,
janishar/android-mvp-architecture,4446,0,8.598665,,,,,,,,,,,,,
square/android-times-square,4439,0,12.589103,,,,,,,,,,,,,
h2database/h2database,4437,23,10.398973,,,,,,,,,,,,,
linhaojun857/aurora,4437,0,3.040257,,,,,,,,,,,,,
dreamhead/moco,4427,1,12.875129,,,,,,,,,,,,,
Tencent/GT,4414,3,9.638838,,,,,,,,,,,,,
water8394/flink-recommandSystem-demo,4413,0,6.304429,,,,,,,,,,,,,
airbnb/DeepLinkDispatch,4407,24,10.228983,,,,,,,,,,,,,
jacoco/jacoco,4401,49,13.152954,,,,,,,,,,,,,
apache/shiro,4400,14,16.012839,,,,,,,,,,,,,
IoT-Technology/IoT-Technical-Guide,4399,0,6.422846,,,,,,,,,,,,,
Freeyourgadget/Gadgetbridge,4397,0,10.658594,,,,,,,,,,,,,
robinhood/ticker,4389,9,9.133803,,,,,,,,,,,,,
flutter-webrtc/flutter-webrtc,4369,132,7.493283,,,,,,,,,,,,,
Ashok-Varma/BottomNavigation,4365,16,9.457133,,,,,,,,,,,,,
awangdev/leet-code,4355,0,10.357896,,,,,,,,,,,,,
pytorch/serve,4347,24,5.91892,,,,,,,,,,,,,
eirslett/frontend-maven-plugin,4321,0,12.009332,,,,,,,,,,,,,
jeasonlzy/ImagePicker,4315,5,9.599757,,,,,,,,,,,,,
mywalkb/LSPosed_mod,4311,10,3.435142,,,,,,,,,,,,,
bingoogolapple/BGARefreshLayout-Android,4311,4,10.267884,,,,,,,,,,,,,
booklore-app/booklore,4302,85,0.720585,,,,,,,,,,,,,
kermitt2/grobid,4292,22,12.970196,,,,,,,,,,,,,
crate/crate,4287,139,12.39873,,,,,,,,,,,,,
dragonwell-project/dragonwell8,4286,40,6.493907,,,,,,,,,,,,,
mcxiaoke/android-volley,4283,0,12.286899,,,,,,,,,,,,,
ThirtyDegreesRay/OpenHub,4283,31,8.146367,,,,,,,,,,,,,
brianway/java-learning,4275,0,9.565503,,,,,,,,,,,,,
bjmashibing/InternetArchitect,4273,0,5.873605,,,,,,,,,,,,,
Snailclimb/guide-rpc-framework,4272,0,5.315439,,,,,,,,,,,,,
failsafe-lib/failsafe,4271,0,10.179284,,,,,,,,,,,,,
ongakuer/CircleIndicator,4271,7,11.094969,,,,,,,,,,,,,
aporter/coursera-android,4265,0,11.659437,,,,,,,,,,,,,
grantland/android-autofittextview,4264,1,14.551054,,,,,,,,,,,,,
jitsi/jitsi,4253,7,12.359449,,,,,,,,,,,,,
201206030/novel-plus,4244,34,5.338043,,,,,,,,,,,,,
google/open-location-code,4240,5,10.924721,,,,,,,,,,,,,
